#Frame      Mode1    Mode2    Mode3
     554 -179.679  167.206   15.964
     555 -178.944  167.427   19.335
     556 -177.655  168.558   18.423
     557 -173.497  170.633   15.947
     558 -178.437  167.823   15.909
     559 -178.145  163.778   16.738
     560 -176.918  164.655   17.518
     561 -178.019  164.492   15.361
     562 -180.003  165.406   18.885
     563 -183.364  164.810   20.038
     564 -179.156  164.901   19.229
     565 -175.194  165.915   17.475
     566 -179.244  167.415   17.765
     567 -181.097  169.292   19.338
     568 -180.132  167.891   21.099
     569 -178.724  167.289   23.587
     570 -177.172  166.357   26.539
     571 -178.895  165.213   27.696
     572 -176.983  162.161   26.315
     573 -177.899  163.846   24.530
     574 -183.280  163.594   22.544
     575 -181.551  162.679   25.608
     576 -180.832  164.905   25.778
     577 -179.619  166.129   24.871
     578 -179.822  168.046   27.438
     579 -178.251  166.800   24.220
     580 -177.056  164.530   26.228
     581 -178.369  164.112   30.233
     582 -180.551  164.353   26.742
     583 -180.070  166.220   29.221
     584 -181.603  165.924   27.109
     585 -176.697  163.382   30.605
     586 -177.786  162.949   29.272
     587 -173.527  162.078   29.844
     588 -172.124  165.680   29.401
     589 -170.901  166.425   29.363
     590 -173.126  168.774   26.549
     591 -169.140  165.819   30.203
     592 -170.668  164.571   30.109
     593 -172.037  165.709   29.107
     594 -172.995  168.945   31.682
     595 -174.161  168.348   30.051
     596 -173.077  170.592   30.980
     597 -171.237  169.102   32.196
     598 -170.180  169.758   30.529
     599 -170.989  171.009   28.308
     600 -171.605  171.545   28.853
     601 -173.272  170.243   29.752
     602 -171.653  167.916   29.794
     603 -172.885  168.245   31.187
     604 -172.408  166.053   33.626
     605 -173.339  165.120   35.007
     606 -174.644  167.962   33.026
     607 -174.866  167.774   32.535
     608 -176.572  163.840   35.789
     609 -173.866  162.602   35.687
     610 -174.387  166.100   35.480
     611 -171.346  167.324   36.043
     612 -166.257  167.703   37.199
     613 -165.659  168.134   39.255
     614 -165.565  164.597   38.976
     615 -165.637  166.401   38.734
     616 -164.764  167.804   37.664
     617 -166.695  165.931   40.110
     618 -164.127  165.608   40.023
     619 -162.252  163.620   38.607
     620 -163.093  163.312   40.484
     621 -166.141  164.783   38.697
     622 -164.202  163.103   41.147
     623 -165.015  166.852   41.121
     624 -165.777  164.416   40.928
     625 -165.194  163.451   40.470
     626 -165.923  163.504   42.447
     627 -166.051  163.155   43.527
     628 -168.076  160.600   46.536
     629 -167.642  159.265   44.491
     630 -169.314  162.243   41.719
     631 -167.709  162.308   43.692
     632 -165.859  162.229   44.335
     633 -168.346  160.864   47.154
     634 -168.406  161.935   46.547
     635 -169.264  162.609   45.644
     636 -171.183  162.243   47.119
     637 -168.587  160.232   48.771
     638 -169.392  161.777   46.986
     639 -167.475  160.708   47.698
     640 -168.796  159.125   47.381
     641 -167.362  157.323   49.739
     642 -169.889  160.061   49.798
     643 -170.044  161.592   50.234
     644 -167.497  162.124   51.370
     645 -171.018  164.130   50.706
     646 -169.561  168.311   48.558
     647 -172.025  164.882   46.885
     648 -169.046  162.733   47.978
     649 -169.059  162.579   46.311
     650 -166.446  161.776   46.247
     651 -169.365  162.063   47.223
     652 -169.384  159.810   45.963
     653 -168.687  163.354   45.048
     654 -168.237  162.044   46.269
     655 -171.591  161.258   46.511
     656 -174.472  159.947   46.546
     657 -173.628  161.190   46.937
     658 -172.948  162.891   45.258
     659 -168.473  160.246   46.169
     660 -170.091  161.312   46.830
     661 -167.654  162.900   46.651
     662 -169.083  163.101   46.721
     663 -166.587  162.163   48.592
     664 -170.654  160.386   47.795
     665 -171.774  157.689   49.416
     666 -171.389  159.907   50.493
     667 -173.202  158.345   51.061
     668 -171.431  158.642   49.124
     669 -173.418  156.436   48.524
     670 -171.945  155.381   47.807
     671 -172.702  158.344   42.586
     672 -174.931  158.522   42.230
     673 -169.832  157.617   40.037
     674 -169.495  158.666   40.275
     675 -171.121  160.011   37.129
     676 -170.314  164.309   36.324
     677 -170.985  168.533   34.478
     678 -166.193  169.411   34.190
     679 -169.951  172.355   33.774
