#Frame      Mode1    Mode2    Mode3
     724 -306.184   86.331  -84.849
     725 -308.512   89.032  -84.953
     726 -307.015   87.228  -85.366
     727 -307.035   87.857  -85.084
     728 -308.575   85.360  -85.798
     729 -307.083   85.463  -86.517
     730 -306.102   87.248  -86.032
     731 -305.437   90.106  -86.267
     732 -304.521   87.790  -85.740
     733 -306.882   86.948  -87.539
     734 -308.086   86.744  -87.921
     735 -307.584   88.387  -90.854
     736 -305.538   87.130  -90.625
     737 -307.682   86.699  -90.784
     738 -306.464   86.770  -91.750
     739 -306.713   87.647  -90.982
     740 -306.747   86.940  -90.968
     741 -306.308   86.558  -91.477
     742 -306.844   87.506  -88.621
     743 -307.635   87.109  -86.371
     744 -308.136   86.129  -86.887
     745 -309.009   86.062  -87.492
     746 -306.902   83.624  -88.817
     747 -308.484   87.120  -85.027
     748 -306.340   84.826  -84.689
     749 -306.956   82.778  -83.979
     750 -304.960   83.589  -82.745
     751 -306.885   85.894  -82.011
     752 -306.570   85.432  -82.186
     753 -309.033   84.627  -85.166
     754 -307.898   85.353  -83.780
     755 -308.137   83.593  -82.999
     756 -305.849   86.225  -85.719
     757 -305.906   83.768  -86.108
     758 -306.091   82.624  -87.438
     759 -307.518   81.826  -88.496
     760 -305.188   83.836  -87.919
     761 -305.405   86.870  -86.917
     762 -309.230   85.866  -86.986
     763 -307.927   88.491  -86.413
     764 -308.883   88.817  -85.653
     765 -306.865   87.342  -86.654
     766 -308.641   88.170  -84.983
     767 -309.504   88.690  -85.156
     768 -306.362   89.941  -83.698
     769 -304.382   91.507  -82.571
     770 -304.910   91.835  -82.603
     771 -304.847   93.327  -83.337
     772 -306.582   94.165  -85.948
     773 -304.831   96.290  -83.650
     774 -302.936   96.949  -84.631
     775 -303.451   95.699  -83.018
     776 -304.461   92.494  -82.572
     777 -303.378   93.792  -82.715
     778 -301.292   91.453  -84.027
     779 -302.580   94.465  -84.526
     780 -304.138   91.149  -84.653
     781 -305.475   89.683  -87.404
     782 -305.350   90.841  -83.595
     783 -303.148   92.906  -86.270
     784 -304.667   93.550  -83.754
     785 -305.842   92.975  -81.564
     786 -304.621   88.878  -80.208
     787 -304.096   90.167  -77.941
     788 -307.109   90.732  -76.050
     789 -306.012   90.253  -74.172
     790 -306.603   91.289  -74.422
     791 -301.210   93.463  -74.330
     792 -303.302   95.579  -75.336
     793 -304.266   93.945  -72.372
     794 -304.137   93.987  -72.917
     795 -307.999   92.042  -74.854
     796 -307.200   92.415  -74.503
     797 -307.376   87.981  -73.370
     798 -306.592   87.456  -72.041
     799 -305.153   89.781  -69.898
     800 -306.951   91.315  -70.678
     801 -305.790   92.548  -68.225
     802 -307.202   94.172  -69.350
     803 -306.836   94.778  -70.901
     804 -303.050   95.323  -67.282
     805 -303.460   93.779  -66.648
     806 -300.663   91.823  -64.542
     807 -301.995   92.267  -64.606
     808 -305.892   91.100  -66.865
     809 -303.797   92.201  -68.759
     810 -303.894   95.287  -69.034
     811 -301.271   94.470  -69.916
     812 -303.727   95.921  -67.820
     813 -306.061   97.007  -67.186
     814 -305.927   96.294  -70.441
     815 -305.927   93.255  -71.121
     816 -305.267   93.811  -71.031
     817 -305.377   93.089  -70.902
